datetime,scale,temperature
8/19/2012 12:26,C,21.0
8/19/2012 13:26,C,21.0
8/19/2012 14:26,C,22.0
8/19/2012 15:26,C,22.5
8/19/2012 16:26,C,22.5
8/19/2012 17:26,C,22.5
8/19/2012 18:26,C,22.5
8/19/2012 19:26,C,23.0
8/19/2012 20:26,C,23.0
8/19/2012 21:26,C,23.0
8/19/2012 22:26,C,23.0
8/19/2012 23:26,C,23.0
8/20/2012 0:26,C,23.0
8/20/2012 1:26,C,22.5
8/20/2012 2:26,C,22.0
8/20/2012 3:26,C,22.0
8/20/2012 4:26,C,21.5
8/20/2012 5:26,C,21.5
8/20/2012 6:26,C,21.0
8/20/2012 7:26,C,21.0
8/20/2012 8:26,C,20.5
8/20/2012 9:26,C,20.5
8/20/2012 10:26,C,20.5
8/20/2012 11:26,C,20.5
8/20/2012 12:26,C,21.0
8/20/2012 13:26,C,21.0
8/20/2012 14:26,C,21.5
8/20/2012 15:26,C,22.0
8/20/2012 16:26,C,22.0
8/20/2012 17:26,C,22.0
8/20/2012 18:26,C,22.5
8/20/2012 19:26,C,22.5
8/20/2012 20:26,C,22.5
8/20/2012 21:26,C,22.5
8/20/2012 22:26,C,22.5
8/20/2012 23:26,C,22.5
8/21/2012 0:26,C,22.0
8/21/2012 1:26,C,21.5
8/21/2012 2:26,C,21.5
8/21/2012 3:26,C,21.0
8/21/2012 4:26,C,21.0
8/21/2012 5:26,C,20.5
8/21/2012 6:26,C,20.5
8/21/2012 7:26,C,20.0
8/21/2012 8:26,C,20.0
8/21/2012 9:26,C,20.0
8/21/2012 10:26,C,20.0
8/21/2012 11:26,C,20.5
8/21/2012 12:26,C,20.5
8/21/2012 13:26,C,20.5
8/21/2012 14:26,C,21.0
8/21/2012 15:26,C,21.0
8/21/2012 16:26,C,21.0
8/21/2012 17:26,C,21.5
8/21/2012 18:26,C,21.5
8/21/2012 19:26,C,21.5
8/21/2012 20:26,C,21.5
8/21/2012 21:26,C,21.5
8/21/2012 22:26,C,21.5
8/21/2012 23:26,C,21.5
8/22/2012 0:26,C,21.5
8/22/2012 1:26,C,21.5
8/22/2012 2:26,C,21.0
8/22/2012 3:26,C,20.5
8/22/2012 4:26,C,20.5
8/22/2012 5:26,C,20.0
8/22/2012 6:26,C,20.0
8/22/2012 7:26,C,19.5
8/22/2012 8:26,C,19.5
8/22/2012 9:26,C,20.0
8/22/2012 10:26,C,20.0
8/22/2012 11:26,C,20.0
8/22/2012 12:26,C,20.0
8/22/2012 13:26,C,20.5
8/22/2012 14:26,C,21.0
8/22/2012 15:26,C,21.5
8/22/2012 16:26,C,21.5
8/22/2012 17:26,C,22.0
8/22/2012 18:26,C,22.0
8/22/2012 19:26,C,22.5
8/22/2012 20:26,C,22.5
8/22/2012 21:26,C,22.5
8/22/2012 22:26,C,22.5
8/22/2012 23:26,C,22.5
8/23/2012 0:26,C,22.5
8/23/2012 1:26,C,22.5
8/23/2012 2:26,C,22.5
8/23/2012 3:26,C,22.5
8/23/2012 4:26,C,22.5
8/23/2012 5:26,C,22.0
8/23/2012 6:26,C,21.5
8/23/2012 7:26,C,21.5
8/23/2012 8:26,C,21.0
8/23/2012 9:26,C,21.5
8/23/2012 10:26,C,21.5
8/23/2012 11:26,C,21.5
8/23/2012 12:26,C,21.5
8/23/2012 13:26,C,21.5
8/23/2012 14:26,C,22.0
8/23/2012 15:26,C,22.5
8/23/2012 16:26,C,23.0
8/23/2012 17:26,C,23.0
8/23/2012 18:26,C,23.0
8/23/2012 19:26,C,23.0
8/23/2012 20:26,C,23.0
8/23/2012 21:26,C,23.0
8/23/2012 22:26,C,23.5
8/23/2012 23:26,C,23.5
8/24/2012 0:26,C,23.5
8/24/2012 1:26,C,23.5
8/24/2012 2:26,C,23.5
8/24/2012 3:26,C,23.5
8/24/2012 4:26,C,23.5
8/24/2012 5:26,C,23.0
8/24/2012 6:26,C,23.0
8/24/2012 7:26,C,23.0
8/24/2012 8:26,C,22.5
8/24/2012 9:26,C,23.0
8/24/2012 10:26,C,22.5
8/24/2012 11:26,C,22.5
8/24/2012 12:26,C,23.0
8/24/2012 13:26,C,23.0
8/24/2012 14:26,C,23.5
8/24/2012 15:26,C,23.5
8/24/2012 16:26,C,24.0
8/24/2012 17:26,C,24.0
8/24/2012 18:26,C,24.0
8/24/2012 19:26,C,24.5
8/24/2012 20:26,C,24.5
8/24/2012 21:26,C,24.5
8/24/2012 22:26,C,24.5
8/24/2012 23:26,C,24.5
8/25/2012 0:26,C,24.5
8/25/2012 1:26,C,25.0
8/25/2012 2:26,C,25.0
8/25/2012 3:26,C,25.0
8/25/2012 4:26,C,24.5
8/25/2012 5:26,C,24.5
8/25/2012 6:26,C,24.0
8/25/2012 7:26,C,24.0
8/25/2012 8:26,C,24.0
8/25/2012 9:26,C,24.0
8/25/2012 10:26,C,24.0
8/25/2012 11:26,C,24.0
8/25/2012 12:26,C,24.0
8/25/2012 13:26,C,24.5
8/25/2012 14:26,C,25.0
8/25/2012 15:26,C,25.0
8/25/2012 16:26,C,25.5
8/25/2012 17:26,C,25.5
8/25/2012 18:26,C,25.5
8/25/2012 19:26,C,25.5
8/25/2012 20:26,C,26.0
8/25/2012 21:26,C,26.0
8/25/2012 22:26,C,26.0
8/25/2012 23:26,C,26.0
8/26/2012 0:26,C,26.0
8/26/2012 1:26,C,26.0
8/26/2012 2:26,C,26.0
8/26/2012 3:26,C,25.5
8/26/2012 4:26,C,25.5
8/26/2012 5:26,C,25.0
8/26/2012 6:26,C,24.5
8/26/2012 7:26,C,24.0
8/26/2012 8:26,C,24.0
8/26/2012 9:26,C,24.0
8/26/2012 10:26,C,24.0
8/26/2012 11:26,C,24.5
8/26/2012 12:26,C,24.5
8/26/2012 13:26,C,24.5
8/26/2012 14:26,C,25.0
8/26/2012 15:26,C,25.0
8/26/2012 16:26,C,25.5
8/26/2012 17:26,C,26.0
8/26/2012 18:26,C,26.0
8/26/2012 19:26,C,26.5
8/26/2012 20:26,C,26.5
8/26/2012 21:26,C,26.5
8/26/2012 22:26,C,26.5
8/26/2012 23:26,C,26.5
8/27/2012 0:26,C,26.0
8/27/2012 1:26,C,26.0
8/27/2012 2:26,C,25.5
8/27/2012 3:26,C,25.5
8/27/2012 4:26,C,25.0
8/27/2012 5:26,C,25.0
8/27/2012 6:26,C,25.0
8/27/2012 7:26,C,24.5
8/27/2012 8:26,C,24.5
8/27/2012 9:26,C,24.5
8/27/2012 10:26,C,24.5
8/27/2012 11:26,C,24.5
8/27/2012 12:26,C,24.5
8/27/2012 13:26,C,24.5
8/27/2012 14:26,C,24.5
8/27/2012 15:26,C,25.0
8/27/2012 16:26,C,25.0
8/27/2012 17:26,C,25.0
8/27/2012 18:26,C,25.0
8/27/2012 19:26,C,25.5
8/27/2012 20:26,C,25.5
8/27/2012 21:26,C,25.0
8/27/2012 22:26,C,25.0
8/27/2012 23:26,C,25.0
8/28/2012 0:26,C,25.0
8/28/2012 1:26,C,25.0
8/28/2012 2:26,C,25.0
8/28/2012 3:26,C,24.5
8/28/2012 4:26,C,24.0
8/28/2012 5:26,C,24.0
8/28/2012 6:26,C,23.5
8/28/2012 7:26,C,23.0
8/28/2012 8:26,C,23.0
8/28/2012 9:26,C,23.0
8/28/2012 10:26,C,23.0
8/28/2012 11:26,C,23.5
8/28/2012 12:26,C,23.5
8/28/2012 13:26,C,23.5
8/28/2012 14:26,C,23.5
8/28/2012 15:26,C,24.0
8/28/2012 16:26,C,24.0
8/28/2012 17:26,C,24.0
8/28/2012 18:26,C,24.5
8/28/2012 19:26,C,24.5
8/28/2012 20:26,C,24.5
8/28/2012 21:26,C,24.5
8/28/2012 22:26,C,24.5
8/28/2012 23:26,C,24.5
8/29/2012 0:26,C,24.0
8/29/2012 1:26,C,23.5
8/29/2012 2:26,C,23.0
8/29/2012 3:26,C,23.0
8/29/2012 4:26,C,22.5
8/29/2012 5:26,C,22.0
8/29/2012 6:26,C,22.0
8/29/2012 7:26,C,21.5
8/29/2012 8:26,C,21.5
8/29/2012 9:26,C,21.5
8/29/2012 10:26,C,21.0
8/29/2012 11:26,C,21.0
8/29/2012 12:26,C,21.5
8/29/2012 13:26,C,21.5
8/29/2012 14:26,C,22.0
8/29/2012 15:26,C,22.5
8/29/2012 16:26,C,23.0
8/29/2012 17:26,C,23.0
8/29/2012 18:26,C,23.5
8/29/2012 19:26,C,23.5
8/29/2012 20:26,C,24.0
8/29/2012 21:26,C,24.0
8/29/2012 22:26,C,24.0
8/29/2012 23:26,C,24.0
8/30/2012 0:26,C,24.0
8/30/2012 1:26,C,23.5
8/30/2012 2:26,C,23.5
8/30/2012 3:26,C,23.0
8/30/2012 4:26,C,22.5
8/30/2012 5:26,C,22.5
8/30/2012 6:26,C,22.0
8/30/2012 7:26,C,22.0
8/30/2012 8:26,C,21.5
8/30/2012 9:26,C,21.5
8/30/2012 10:26,C,22.0
8/30/2012 11:26,C,22.0
8/30/2012 12:26,C,22.0
8/30/2012 13:26,C,22.5
8/30/2012 14:26,C,22.5
8/30/2012 15:26,C,23.0
8/30/2012 16:26,C,24.0
8/30/2012 17:26,C,24.5
8/30/2012 18:26,C,24.5
8/30/2012 19:26,C,25.0
8/30/2012 20:26,C,25.0
8/30/2012 21:26,C,25.0
8/30/2012 22:26,C,24.5
8/30/2012 23:26,C,24.0
8/31/2012 0:26,C,24.0
8/31/2012 1:26,C,23.5
8/31/2012 2:26,C,23.0
8/31/2012 3:26,C,23.0
8/31/2012 4:26,C,22.5
8/31/2012 5:26,C,22.0
8/31/2012 6:26,C,22.0
8/31/2012 7:26,C,21.5
8/31/2012 8:26,C,21.5
8/31/2012 9:26,C,21.5
8/31/2012 10:26,C,22.0
8/31/2012 11:26,C,22.0
8/31/2012 12:26,C,22.0
8/31/2012 13:26,C,22.0
8/31/2012 14:26,C,22.5
8/31/2012 15:26,C,23.0
8/31/2012 16:26,C,23.0
8/31/2012 17:26,C,23.0
8/31/2012 18:26,C,23.5
8/31/2012 19:26,C,23.5
8/31/2012 20:26,C,23.5
8/31/2012 21:26,C,23.5
8/31/2012 22:26,C,23.5
8/31/2012 23:26,C,24.0
9/1/2012 0:26,C,24.0
9/1/2012 1:26,C,24.0
9/1/2012 2:26,C,24.0
9/1/2012 3:26,C,23.5
9/1/2012 4:26,C,23.5
9/1/2012 5:26,C,23.0
9/1/2012 6:26,C,23.0
9/1/2012 7:26,C,23.0
9/1/2012 8:26,C,22.5
9/1/2012 9:26,C,22.5
9/1/2012 10:26,C,22.5
9/1/2012 11:26,C,22.5
9/1/2012 12:26,C,22.5
9/1/2012 13:26,C,23.0
9/1/2012 14:26,C,23.0
9/1/2012 15:26,C,23.0
9/1/2012 16:26,C,23.5
9/1/2012 17:26,C,23.5
9/1/2012 18:26,C,24.0
9/1/2012 19:26,C,24.0
9/1/2012 20:26,C,24.5
9/1/2012 21:26,C,24.5
9/1/2012 22:26,C,24.5
9/1/2012 23:26,C,24.5
9/2/2012 0:26,C,24.5
9/2/2012 1:26,C,24.0
9/2/2012 2:26,C,24.0
9/2/2012 3:26,C,24.0
9/2/2012 4:26,C,24.0
9/2/2012 5:26,C,23.5
9/2/2012 6:26,C,23.5
9/2/2012 7:26,C,23.0
9/2/2012 8:26,C,23.0
9/2/2012 9:26,C,23.0
9/2/2012 10:26,C,23.0
9/2/2012 11:26,C,23.0
9/2/2012 12:26,C,23.0
9/2/2012 13:26,C,23.5
9/2/2012 14:26,C,23.5
9/2/2012 15:26,C,23.5
9/2/2012 16:26,C,24.0
9/2/2012 17:26,C,24.0
9/2/2012 18:26,C,24.0
9/2/2012 19:26,C,24.5
9/2/2012 20:26,C,24.5
9/2/2012 21:26,C,24.5
9/2/2012 22:26,C,24.5
9/2/2012 23:26,C,24.5
9/3/2012 0:26,C,24.0
9/3/2012 1:26,C,24.0
9/3/2012 2:26,C,23.5
9/3/2012 3:26,C,23.0
9/3/2012 4:26,C,23.0
9/3/2012 5:26,C,22.5
9/3/2012 6:26,C,22.5
9/3/2012 7:26,C,22.5
9/3/2012 8:26,C,22.0
9/3/2012 9:26,C,22.0
9/3/2012 10:26,C,22.5
9/3/2012 11:26,C,22.5
9/3/2012 12:26,C,22.5
9/3/2012 13:26,C,22.5
9/3/2012 14:26,C,23.0
9/3/2012 15:26,C,23.0
9/3/2012 16:26,C,23.5
9/3/2012 17:26,C,23.5
9/3/2012 18:26,C,24.0
9/3/2012 19:26,C,24.0
9/3/2012 20:26,C,24.0
9/3/2012 21:26,C,24.0
9/3/2012 22:26,C,24.5
9/3/2012 23:26,C,24.5
9/4/2012 0:26,C,24.5
9/4/2012 1:26,C,24.5
9/4/2012 2:26,C,24.5
9/4/2012 3:26,C,24.5
9/4/2012 4:26,C,24.5
9/4/2012 5:26,C,24.5
9/4/2012 6:26,C,24.5
9/4/2012 7:26,C,24.5
9/4/2012 8:26,C,24.5
9/4/2012 9:26,C,24.5
9/4/2012 10:26,C,24.5
9/4/2012 11:26,C,24.5
9/4/2012 12:26,C,24.5
9/4/2012 13:26,C,24.5
9/4/2012 14:26,C,24.5
9/4/2012 15:26,C,24.5
9/4/2012 16:26,C,24.5
9/4/2012 17:26,C,24.0
9/4/2012 18:26,C,24.0
9/4/2012 19:26,C,24.0
9/4/2012 20:26,C,24.0
9/4/2012 21:26,C,24.5
9/4/2012 22:26,C,24.5
9/4/2012 23:26,C,24.5
9/5/2012 0:26,C,24.5
9/5/2012 1:26,C,24.5
9/5/2012 2:26,C,24.0
9/5/2012 3:26,C,24.0
9/5/2012 4:26,C,24.0
9/5/2012 5:26,C,24.0
9/5/2012 6:26,C,23.5
9/5/2012 7:26,C,23.5
9/5/2012 8:26,C,23.5
9/5/2012 9:26,C,23.5
9/5/2012 10:26,C,23.5
9/5/2012 11:26,C,23.5
9/5/2012 12:26,C,23.5
9/5/2012 13:26,C,24.0
9/5/2012 14:26,C,24.5
9/5/2012 15:26,C,25.0
9/5/2012 16:26,C,25.0
9/5/2012 17:26,C,25.5
9/5/2012 18:26,C,25.5
9/5/2012 19:26,C,25.5
9/5/2012 20:26,C,25.5
9/5/2012 21:26,C,25.5
9/5/2012 22:26,C,25.0
9/5/2012 23:26,C,25.0
9/6/2012 0:26,C,24.5
9/6/2012 1:26,C,24.5
9/6/2012 2:26,C,24.5
9/6/2012 3:26,C,24.0
9/6/2012 4:26,C,24.0
9/6/2012 5:26,C,23.5
9/6/2012 6:26,C,23.5
9/6/2012 7:26,C,23.0
9/6/2012 8:26,C,23.0
9/6/2012 9:26,C,23.0
9/6/2012 10:26,C,23.0
9/6/2012 11:26,C,23.0
9/6/2012 12:26,C,23.0
9/6/2012 13:26,C,23.0
9/6/2012 14:26,C,26.5
9/6/2012 15:26,C,26.5
9/6/2012 16:26,C,26.5
9/6/2012 17:26,C,27.0
9/6/2012 18:26,C,27.0
9/6/2012 19:26,C,27.0
9/6/2012 20:26,C,26.5
9/6/2012 21:26,C,26.0
9/6/2012 22:26,C,26.0
9/6/2012 23:26,C,25.5
9/7/2012 0:26,C,25.0
9/7/2012 1:26,C,25.0
9/7/2012 2:26,C,24.5
9/7/2012 3:26,C,24.5
9/7/2012 4:26,C,24.0
9/7/2012 5:26,C,23.5
9/7/2012 6:26,C,23.5
9/7/2012 7:26,C,23.0
9/7/2012 8:26,C,23.0
9/7/2012 9:26,C,23.0
9/7/2012 10:26,C,23.5
9/7/2012 11:26,C,24.0
9/7/2012 12:26,C,24.0
9/7/2012 13:26,C,24.5
9/7/2012 14:26,C,25.0
9/7/2012 15:26,C,25.0
9/7/2012 16:26,C,26.0
9/7/2012 17:26,C,26.0
9/7/2012 18:26,C,26.0
9/7/2012 19:26,C,25.5
9/7/2012 20:26,C,25.5
9/7/2012 21:26,C,25.0
9/7/2012 22:26,C,24.5
9/7/2012 23:26,C,24.5
9/8/2012 0:26,C,23.5
9/8/2012 1:26,C,23.0
9/8/2012 2:26,C,22.5
9/8/2012 3:26,C,22.0
9/8/2012 4:26,C,21.5
9/8/2012 5:26,C,21.0
9/8/2012 6:26,C,21.0
9/8/2012 7:26,C,20.5
9/8/2012 8:26,C,20.5
9/8/2012 9:26,C,20.5
9/8/2012 10:26,C,21.5
9/8/2012 11:26,C,23.0
9/8/2012 12:26,C,23.5
9/8/2012 13:26,C,23.5
9/8/2012 14:26,C,23.5
9/8/2012 15:26,C,24.5
9/8/2012 16:26,C,24.5
9/8/2012 17:26,C,24.5
9/8/2012 18:26,C,24.0
9/8/2012 19:26,C,23.5
9/8/2012 20:26,C,23.0
9/8/2012 21:26,C,22.5
9/8/2012 22:26,C,22.5
9/8/2012 23:26,C,22.0
9/9/2012 0:26,C,21.5
9/9/2012 1:26,C,21.0
